ID_P,ID_E
3619,2239
3621,2794
3623,3564
3624,3915
3626,4081
3627,5179
3629,6852
3630,7347
3631,9454
27939,14492
28123,16765
28272,17207
32673,17374
37573,17462
37692,19346
38515,25198
38550,26211
38800,26292
39236,26795
39999,26838
40161,27417
40163,30002
43367,30711
43498,31235
43500,85075
43555,85076
43625,85078
43683,85079
44588,85080
44589,85081
35067,85112
35506,85190
10317,85223
10319,85279
10320,85635
10321,85740
10339,85747
10340,85748
24708,85929
27545,85955
27563,92015
27655,92165
27755,92220
27760,
27860,
34482,
37387,
38202,
38209,
40191,
40193,
40893,
41068,
42384,
42757,
43370,
43766,
10316,
10322,
28177,
34245,
38625,
40282,
40283,
21283,
21284,
25479,
25480,
26476,
26477,
27868,
29727,
34400,
34401,
34531,
36998,
38175,
40669,
42629,
42690,
42817,
43310,
44014,
34928,
37518,
732,
733,
734,
735,
739,
20389,
26178,
29731,
29732,
29733,
29734,
29735,
31019,
31020,
31021,
32582,
32583,
32584,
33076,
33077,
33078,
33840,
33841,
33851,
35412,
35712,
38609,
39210,
40094,
40238,
40671,
40927,
42487,
42979,
42980,
42981,
42982,
43257,
43258,
43259,
43260,
43309,
43376,
43695,
44091,
10663,
35601,
38132,
39407,
43640,
654,
655,
666,
674,
675,
680,
20338,
20341,
20345,
20350,
20352,
25452,
26094,
27615,
27616,
28112,
28847,
28849,
28850,
32749,
32943,
33249,
33949,
34010,
34278,
34599,
34916,
35156,
35174,
35305,
35413,
37695,
37738,
37739,
37740,
37741,
38628,
39715,
39726,
40205,
40244,
40311,
40312,
40313,
41008,
41091,
41261,
41336,
41424,
44157,
44650,
1415,
33327,
33331,
33332,
33333,
33334,
33335,
33960,
40984,
28855,
34789,
37434,
38190,
38639,
38933,
39474,
39749,
39799,
41325,
41326,
42987,
42988,
42989,
42990,
43645,
37849,
38358,
28694,
31011,
31015,
31017,
35422,
38638,
42321,
42991,
42992,
42994,
42995,
1417,
28867,
38701,
42949,
42996,
42997,
42998,
42999,
41035,
42546,
9812,
9814,
9817,
9818,
24429,
25665,
25666,
25692,
26247,
28175,
30850,
32558,
32559,
32560,
32561,
32562,
32563,
33111,
37583,
37684,
39160,
40062,
40276,
40277,
40754,
1852,
38215,
40944,
43901,
43903,
40945,
43910,
39179,
39193,
41582,
43906,
